Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,E-commerce ,Operations Manager ,50000,3000,GBP,United Kingdom,Unknown,Manchester ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Engineering or Manufacturing,Footwear Technical Developer 1,82000,8000,USD,United States,Oregon,Portland,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Law,corporate counsel,148500,60000,USD,United States,Georgia,Atlanta,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Engineering or Manufacturing,Manager Assistant,22400,600,EUR,Greece,Unknown,Thessaloniki,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Education (Higher Education),Gardens Manager,39000,0,USD,United States,Montana,Missoula,8 - 10 years,5-7 years,Master's degree,Woman
18-24,Computing or Tech,Software Engineer,103600,40000,USD,United States,California,Santa Barbara,2 - 4 years,2 - 4 years,Some college,Woman
25-34,Nonprofits,PR Specialist,39000,0,USD,United States,New York,Buffalo,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Education (Higher Education),Advising Dean,72500,0,USD,United States,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,"Marketing, Advertising & PR",Associate Creative Director,150000,0,USD,United States,California,San Francisco,21 - 30 years,11 - 20 years,College degree,Woman
45-54,Computing or Tech,"Manager, Client Support",72613,100,USD,United States,Illinois,"Evanston, IL ",21 - 30 years,11 - 20 years,College degree,Man
35-44,Hospitality & Events,Associate Director of Accounting,103000,10300,USD,United States,Florida,Orlando,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Health care,File Clerk,27040,0,USD,United States,Idaho,Sandpoint,11 - 20 years,5-7 years,College degree,Woman
25-34,Nonprofits,Administrative and Communications Assistant,57000,1000,USD,United States,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),Graduate Recruitment Officer,73000,0,CAD,Canada,Unknown,Toronto,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Health care,Clinical Trial Regulatory Coordinator,75000,0,USD,United States,Louisiana,New Orleans,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Health care,"Director, Client Operations",104000,104000,USD,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Non-binary
35-44,Computing or Tech,Executive Assistant,45000,4000,EUR,Spain,Unknown,Barcelona,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Education (Higher Education),"Head, Departmental Library",98600,0,USD,United States,Illinois,Urbana,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Education (Primary/Secondary),"Teacher, elementary school",63000,1000,USD,United States,New York,Binghamton,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Oil & Gas,Planning Team Lead,140000,65000,CAD,Canada,Unknown,Ontario mid-size,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,"Leisure, Sport & Tourism",Lifestyle Director for a master planned community ,54700,0,USD,United States,Texas,Houston,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Education (Higher Education),Financial Aid Counselor,42000,3000,USD,United States,Washington,Spokane,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Computing or Tech,Sr Director IT,292000,100000,USD,United States,California,San Jose,21 - 30 years,21 - 30 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Executive PA and Office Manager,50000,10000,GBP,United Kingdom,Unknown,London,5-7 years,5-7 years,College degree,Woman
35-44,"Marketing, Advertising & PR",Content Director,115000,15000,USD,United States,New York,NYC,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Content Coordinator ,40000,1000,USD,United States,Kentucky,Louisville ,5-7 years,5-7 years,College degree,Woman
35-44,Education (Primary/Secondary),Preschool Teacher,34000,0,USD,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,"Director, Fundraising Events and Donor Communications",125000,0,USD,United States,New York,New York City,11 - 20 years,8 - 10 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Accounts Payable/Receivable Clerk,38500,200,CAD,Canada,Unknown,Vancouver,2 - 4 years,2 - 4 years,Some college,Man
35-44,Government and Public Administration,Library Associate ,34000,0,USD,United States,Arizona,Tucson ,8 - 10 years,5-7 years,College degree,Woman
35-44,Recruitment or HR,Benefits Specialist ,40000,3000,USD,United States,Georgia,Atlanta ,5-7 years,5-7 years,College degree,Woman
45-54,Computing or Tech,Manager,188000,120000,USD,United States,California,San Francisco,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Education (Higher Education),Associate Professor,45000,0,USD,United States,Georgia,Prefer not to say,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Education (Primary/Secondary),Teacher,58000,0,USD,United States,Texas,Grand Prairie,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Government and Public Administration,Librarian,60000,0,USD,United States,Iowa,Des Moines,5-7 years,1 year or less,Master's degree,Non-binary
35-44,Food processing,Quality Assurance Manager,62000,12500,USD,United States,Michigan,Traverse City,11 - 20 years,5-7 years,College degree,Woman
25-34,Nonprofits,Staff Attorney,95838,10474,USD,United States,California,San Francisco,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing or Tech,Tech Enablement,55000,1100,USD,United States,New York,NYC,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Nonprofits,Policy and Reporting Analyst,47258,500,USD,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Woman
35-44,Hospitality & Events,Head Server,40000,0,USD,United States,New York,Buffalo,11 - 20 years,5-7 years,Some college,Woman
35-44,Computing or Tech,Director of Client Success,115000,0,USD,United States,New York,New York,21 - 30 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),"Writing Coordinator, Clincial Instructor",52000,0,USD,United States,Illinois,Springfield,8 - 10 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Software Engineer,38000,2000,GBP,United Kingdom,Unknown,"Manchester, England",8 - 10 years,2 - 4 years,College degree,Woman
35-44,Education (Primary/Secondary),PA to the Senior Leadership Team ,18500,0,GBP,United Kingdom ,Unknown,Exeter,21 - 30 years,2 - 4 years,High School,Woman
35-44,auto repair,junior service manager,31200,1000,USD,United States,Ohio,Columbus,11 - 20 years,5-7 years,Master's degree,Non-binary
25-34,Hospitality & Events,VP Global Account Management,137000,137000,USD,United States,New York,New York ,5-7 years,5-7 years,College degree,Woman
25-34,Education (Primary/Secondary),Preschool teacher,40000,0,EUR,Germany,Unknown,Heilbronn,11 - 20 years,5-7 years,Some college,Woman
25-34,Retail,Key Holder,24960,0,USD,United States,New Jersey,mt arlington,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Education (Higher Education),Assistant Professor,89000,9888,USD,United States,California,Davis,5-7 years,5-7 years,PhD,Woman
25-34,Computing or Tech,Staff Data Scientist,169000,16900,USD,United States,California,San Francisco,5-7 years,5-7 years,PhD,Woman
45-54,Nonprofits,Executive Assistant to President/CEO,72500,0,USD,United States,Wisconsin,Appleton,21 - 30 years,21 - 30 years,College degree,Woman
55-64,Education (Higher Education),Administrative Assistant,36720,600,USD,United States,North Carolina,High Point,21 - 30 years,2 - 4 years,Some college,Woman
25-34,Government and Public Administration,"Manager, Legislation and Information Management",95253,0,CAD,Canada,Unknown,Regina,11 - 20 years,8 - 10 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Senior Marketing Manager,94500,14000,CAD,Canada,Unknown,Vancouver,8 - 10 years,8 - 10 years,College degree,Woman
45-54,Nonprofits,Assistant director,120000,0,USD,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,PhD,Woman
25-34,Nonprofits,Insight and Engagement Officer,26000,0,GBP,United Kingdom,Unknown,Manchester,8 - 10 years,5-7 years,Master's degree,Woman
35-44,"Leisure, Sport & Tourism",Executive Director,58000,3000,USD,United States,Wisconsin,New Glarus,11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Financial Engineer,110000,5000,USD,United States,District of Columbia,Washington,5-7 years,2 - 4 years,Master's degree,Man
35-44,Engineering or Manufacturing,Manager of Communication & Public Relations,83000,10000,USD,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Subsea Engineer,130000,10000,USD,United States,Texas,Houston,8 - 10 years,8 - 10 years,College degree,Other or prefer not to answer
25-34,Restaurant ,Service Manager,55000,0,USD,United States,California,San Jose,8 - 10 years,2 - 4 years,Some college,Non-binary
45-54,Engineering or Manufacturing,Senior Quality Systems Analyst,97000,3000,USD,United States,Wisconsin,Milwaukee,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,Computing or Tech,Technical Editor,135000,45000,USD,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),PhD Student,40000,0,USD,United States,Indiana,South Bend,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Senior process engineer,138000,4000,USD,United States,Massachusetts,Boston,5-7 years,11 - 20 years,College degree,Woman
25-34,Health care,Billing Manager,80000,5000,USD,United States,California,Santa Barbara,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Nonprofits,Annual Fund Manager,57000,0,USD,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Agriculture or Forestry,Policy Manager,80000,8000,CAD,Canada,Unknown,Tornto,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Nonprofits,Associate Director,93000,0,USD,United States,District of Columbia,DC,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Nonprofits,Senior Data Analyst,91000,3000,USD,United States,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Restaurant ,Service Manager,55000,0,USD,United States,California,San Jose,8 - 10 years,2 - 4 years,Some college,Non-binary
35-44,Computing or Tech,Executive Assistant ,80000,12000,USD,Puerto Rico ,Unknown,San Juan,21 - 30 years,11 - 20 years,College degree,Woman
45-54,Engineering or Manufacturing,Senior VP,260000,78000,USD,United States,Oregon,Portland,31 - 40 years,31 - 40 years,High School,Man
45-54,Computing or Tech,Executive Assistant ,120000,12000,EUR,United Kingdom,Unknown,Virtual ,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Sales,Account Manager,52000,2000,USD,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Government and Public Administration,Records management analyst,78000,0,CAD,Canada,Unknown,Montreal,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Media & Digital,Executive Assistant ,70500,2500,USD,United States,New Jersey,Trenton,21 - 30 years,8 - 10 years,College degree,Woman
45-54,Architectural/Land Planning/Civil Engineering,Office Manager/Bookkeeper/HR,53500,500,USD,United States,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Government and Public Administration,Associate Governmental Program Analyst,60990,0,USD,United States,California,Sacramento,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Deployment Project Manager,63654,5982,USD,United States,Texas,Austin,5-7 years,2 - 4 years,College degree,Non-binary
35-44,Government and Public Administration,Librarian II,46000,0,USD,United States,Georgia,Greater Atlanta Area,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Gaming (Gambling),Data Analyst,72000,0,USD,United States,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Man
35-44,Government and Public Administration,Child Support Specialist,43974,0,USD,United States,Colorado,Westminster,11 - 20 years,1 year or less,College degree,Woman
55-64,Education (Higher Education),Business Service Coordinator,57400,0,USD,United States,Massachusetts,Waltham (suburb of Boston),41 years or more,11 - 20 years,College degree,Woman
25-34,Real Estate,Marketing Director,70000,5000,USD,United States,Kansas,Wichita,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Engineering or Manufacturing,Senior Engineer,147000,10000,USD,United States,California,Menlo Park,11 - 20 years,11 - 20 years,Master's degree,Man
18-24,Government and Public Administration,Communications Analyst,34500,0,GBP,United Kingdom,Unknown,London,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Communications Coordinator,48000,0,USD,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman
25-34,Regulatory Affairs- nutraceuticals ,Regulatory Affairs Supervisor,70980,10000,USD,United States,Wisconsin,NA,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Internal Auditor,80000,5000,USD,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",VP,125000,0,USD,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Officer,92000,0,USD,United States,District of Columbia,Washington,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Manufacturing : corporate admin support,Manager,70000,8000,USD,United States,Washington,Kennewick,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Real Estate Investment Support,Operations,63000,5000,USD,United States,Missouri,Kansas City,8 - 10 years,5-7 years,High School,Woman
18-24,Health care,Registered Nurse,66105,4000,CAD,Canada,Unknown,London,1 year or less,1 year or less,College degree,Woman
25-34,"Accounting, Banking & Finance",Institutional Investor ,88000,5000,USD,United states,North Carolina,Raleigh,5-7 years,5-7 years,College degree,Woman
35-44,Entertainment,"VP, Marketing",125000,48363,USD,United States,California,Los Angeles,11 - 20 years,11 - 20 years,Some college,Woman
25-34,Social Work,Child Protective Services Case Worker,65000,10000,USD,United States,Oregon,Portland,5-7 years,8 - 10 years,Master's degree,Woman
25-34,Computing or Tech,SAP Support Specialist,75300,0,USD,United States,Minnesota,St. Paul,5-7 years,2 - 4 years,College degree,Woman
25-34,Transport or Logistics,Project Manager,29250,5000,USD,United States,Kentucky,Lexington,11 - 20 years,5-7 years,College degree,Man
35-44,Property or Construction,Corporate Accounting Manager,97000,12000,USD,United States,California,Sacramento ,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Nonprofits,Sales Operatins Manager,80000,5000,USD,United States,Illinois,Downers Grove,5-7 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Senior financial analyst,76000,0,USD,United States,District of Columbia,Washington DC,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Media & Digital,Strategic Analyst,65000,1500,USD,United States,New York,New York,5-7 years,2 - 4 years,College degree,Woman
35-44,"Leisure, Sport & Tourism",Reservations Coordinator,36962,250,USD,United States,Washington,Bothell,11 - 20 years,8 - 10 years,Some college,Woman
35-44,Government and Public Administration,Research Assistant,40000,0,USD,United States,Texas,Houston,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Health care,HR Generalist,65000,0,USD,United States,Indiana,Crown Point,8 - 10 years,2 - 4 years,Master's degree,Woman
