City,Industry,Average_Salary
"Cleveland ",Insurance,101500.0000
"Cleveland ",Law,60500.0000
"Cleveland ","LIBRARIES ",43000.0000
"Cleveland ","Marketing, Advertising & PR",105000.0000
"Cleveland ",Nonprofits,50000.0000
"Cleveland ",Sales,480000.0000
"Cleveland ","Social Work",37620.0000
"Cleveland Area","Education (Higher Education)",75000.0000
"Cleveland, Ohio","Computing or Tech",75000.0000
"Cleveland, Ohio","Government and Public Administration",77895.0000
"Clifton Park","Accounting, Banking & Finance",59500.0000
Clinton,"Animal Health",72000.0000
Clinton,"Animal Health Product Manufacturing",75000.0000
"Clinton Township","Computing or Tech",46170.0000
Cloquet,Law,40664.0000
"Cluj-Napoca ","Business or Consulting",24000.0000
Cobourg,"Government and Public Administration",63826.0000
"Coconut creek","Marketing, Advertising & PR",88500.0000
cody,"Accounting, Banking & Finance",55120.0000
"Coeur d Alene","Computing or Tech",82000.0000
"Coeur d'Alene","Accounting, Banking & Finance",60000.0000
"Coeur d'Alene","Health care",66000.0000
"Coeur d’Alene","Health care",36000.0000
"Cold Spring, NY","Agriculture or Forestry",55000.0000
"College Park","Education (Higher Education)",86265.6000
"College Park","Government and Public Administration",151000.0000
"College Park","Hospitality & Events",51800.0000
"College Station","Education (Higher Education)",79000.0000
"College Station","Recruitment or HR",52000.0000
Collegeville,"Pharmaceuticals R&D",106000.0000
"Collegeville ","Pharmaceutical research ",120000.0000
Collinsville,"Health care",85000.0000
"Collinsville ","Accounting, Banking & Finance",60200.0000
Cologne,"Business or Consulting",48000.0000
Cologne,"Computing or Tech",88000.0000
Cologne,Insurance,70000.0000
Colorado,"Health care",151257.0000
"Colorado Springs","Accounting, Banking & Finance",93000.0000
"Colorado Springs","Aerospace and Defense/Government Contracting",52000.0000
"Colorado Springs","Aerospace contracting",122000.0000
"Colorado Springs","Computing or Tech",97611.1111
"Colorado Springs","Education (Higher Education)",64000.0000
"Colorado Springs","Education (Primary/Secondary)",60000.0000
"Colorado Springs","Engineering or Manufacturing",81038.0000
"Colorado Springs","Government and Public Administration",58666.6667
"Colorado Springs","Marketing, Advertising & PR",27000.0000
